Nr.,A,B,C,D,E,F,G,H,I,Sum,Qualified
1,-,-,-,-,-,-,-,-,-,-1,False
2,0,0,0,0,0,0,1,3,5,9,False
4,-,-,-,-,-,-,-,-,-,-1,False
5,-,-,-,-,-,-,-,-,-,-1,False
6,5,5,5,0,5,0,0,4,5,29,True
7,0,4,0,5,0,0,5,0,0,14,False
8,-,-,-,-,-,-,-,-,-,-1,False
9,-,-,-,-,-,-,-,-,-,-1,False
13,5,5,5,5,5,4,5,5,5,44,True
14,-,-,-,-,-,-,-,-,-,-1,False
16,-,-,-,-,-,-,-,-,-,-1,False
17,2,1,0,3,0,0,2,0,0,8,False
18,-,-,-,-,-,-,-,-,-,-1,False
20,-,-,-,-,-,-,-,-,-,-1,False
23,-,-,-,-,-,-,-,-,-,-1,False
24,5,5,5,5,5,5,0,5,5,40,True
25,0,0,0,0,0,0,2,1,0,3,False
26,-,-,-,-,-,-,-,-,-,-1,False
27,-,-,-,-,-,-,-,-,-,-1,False
28,-,-,-,-,-,-,-,-,-,-1,False
29,-,-,-,-,-,-,-,-,-,-1,False
30,1,0,0,1,5,5,5,2,3,22,True
31,-,-,-,-,-,-,-,-,-,-1,False
32,-,-,-,-,-,-,-,-,-,-1,False
33,-,-,-,-,-,-,-,-,-,-1,False
34,-,-,-,-,-,-,-,-,-,-1,False
35,-,-,-,-,-,-,-,-,-,-1,False
36,0,0,0,0,0,0,0,0,0,0,False
37,-,-,-,-,-,-,-,-,-,-1,False
38,2,0,0,1,0,4,0,0,0,7,False
40,-,-,-,-,-,-,-,-,-,-1,False
41,-,-,-,-,-,-,-,-,-,-1,False
42,-,-,-,-,-,-,-,-,-,-1,False
43,5,5,5,5,5,5,5,5,5,45,True
44,-,-,-,-,-,-,-,-,-,-1,False
45,5,5,5,5,5,5,0,5,2,37,True
47,-,-,-,-,-,-,-,-,-,-1,False
48,0,0,5,0,0,2,5,0,0,12,False
49,-,-,-,-,-,-,-,-,-,-1,False
