Nr.,D,E,F,G,H,I,J,1.,1.-2.,1.-3.,1.-4.,1.-5.,1.-6.,Platz,Summe,Dance
29,2,6,5,4,4,3,6,0,1,2,4(13),-,-,50,50,LW
64,3,2,3,3,3,4,2,0,2,6,-,-,-,20,20,LW
76,5,3,4,6,6,1,3,1,1,3,4(11),-,-,40,40,LW
86,1,1,2,1,1,2,1,5,-,-,-,-,-,10,10,LW
90,6,5,6,5,5,5,4,0,0,0,1,5,-,60,60,LW
105,4,4,1,2,2,6,5,1,3,3,5,-,-,30,30,LW
29,2,5,6,4,4,3,6,0,1,2,4(13),-,-,50,100,TG
64,3,2,3,3,3,4,2,0,2,6,-,-,-,20,40,TG
76,5,4,4,6,6,1,3,1,1,2,4(12),-,-,40,80,TG
86,1,1,1,1,2,2,1,5,-,-,-,-,-,10,20,TG
90,6,6,5,5,5,5,4,0,0,0,1,5,-,60,120,TG
105,4,3,2,2,1,6,5,1,3,4,-,-,-,30,60,TG
29,2,5,6,5,2,3,5,0,2,3,3,6,-,50,150,WW
64,3,2,1,2,3,4,2,1,4,-,-,-,-,20,60,WW
76,4,3,5,6,6,1,3,1,1,3,4,-,-,40,120,WW
86,1,1,3,1,5,2,1,4,-,-,-,-,-,10,30,WW
90,6,6,4,4,4,5,6,0,0,0,3,4,-,60,180,WW
105,5,4,2,3,1,6,4,1,2,3,5,-,-,30,90,WW
29,2,5,6,4,3,3,5,0,1,3,4(12),-,-,50,200,SF
64,3,2,2,3,2,4,3,0,3,6,-,-,-,20,80,SF
76,4,4,5,6,6,1,2,1,2,2,4(11),-,-,40,160,SF
86,1,1,1,1,5,2,1,5,-,-,-,-,-,10,40,SF
90,6,6,4,5,4,5,6,0,0,0,2,4,-,60,240,SF
105,5,3,3,2,1,6,4,1,2,4,-,-,-,30,120,SF
29,2,5,6,4,5,4,4,0,1,1,4,-,-,50,250,QS
64,3,1,2,2,1,3,1,3,5(7),-,-,-,-,10,90,QS
76,4,4,4,6,6,1,3,1,1,2,5,-,-,40,200,QS
86,1,2,3,1,3,2,2,2,5(8),-,-,-,-,20,60,QS
90,6,6,5,5,4,5,6,0,0,0,1,4,-,60,300,QS
105,5,3,1,3,2,6,5,1,2,4,-,-,-,30,150,QS
