Nr.,D,E,F,G,H,I,J,Sum,Qualified
2,-,-,-,-,-,-,-,-1,False
3,-,-,-,-,-,-,-,-1,False
4,-,-,-,-,-,-,-,-1,False
5,-,-,-,-,-,-,-,-1,False
6,-,-,-,-,-,-,-,-1,False
7,-,-,-,-,-,-,-,-1,False
8,-,-,-,-,-,-,-,-1,False
9,0,1,3,0,1,0,2,7,False
10,-,-,-,-,-,-,-,-1,False
11,-,-,-,-,-,-,-,-1,False
12,-,-,-,-,-,-,-,-1,False
13,-,-,-,-,-,-,-,-1,False
14,-,-,-,-,-,-,-,-1,False
15,-,-,-,-,-,-,-,-1,False
16,-,-,-,-,-,-,-,-1,False
17,-,-,-,-,-,-,-,-1,False
18,-,-,-,-,-,-,-,-1,False
19,-,-,-,-,-,-,-,-1,False
20,-,-,-,-,-,-,-,-1,False
21,-,-,-,-,-,-,-,-1,False
24,-,-,-,-,-,-,-,-1,False
25,-,-,-,-,-,-,-,-1,False
26,-,-,-,-,-,-,-,-1,False
28,-,-,-,-,-,-,-,-1,False
29,5,0,1,5,5,5,3,24,True
30,-,-,-,-,-,-,-,-1,False
31,-,-,-,-,-,-,-,-1,False
32,-,-,-,-,-,-,-,-1,False
34,-,-,-,-,-,-,-,-1,False
35,-,-,-,-,-,-,-,-1,False
36,-,-,-,-,-,-,-,-1,False
37,-,-,-,-,-,-,-,-1,False
38,-,-,-,-,-,-,-,-1,False
39,0,3,4,5,2,2,2,18,False
40,-,-,-,-,-,-,-,-1,False
41,0,5,3,1,0,1,0,10,False
42,-,-,-,-,-,-,-,-1,False
43,5,0,1,0,1,0,0,7,False
44,-,-,-,-,-,-,-,-1,False
45,-,-,-,-,-,-,-,-1,False
46,-,-,-,-,-,-,-,-1,False
47,-,-,-,-,-,-,-,-1,False
48,-,-,-,-,-,-,-,-1,False
49,-,-,-,-,-,-,-,-1,False
50,0,0,0,0,2,0,0,2,False
51,-,-,-,-,-,-,-,-1,False
52,-,-,-,-,-,-,-,-1,False
53,-,-,-,-,-,-,-,-1,False
54,-,-,-,-,-,-,-,-1,False
55,-,-,-,-,-,-,-,-1,False
56,-,-,-,-,-,-,-,-1,False
57,0,1,1,0,0,3,2,7,False
58,-,-,-,-,-,-,-,-1,False
59,-,-,-,-,-,-,-,-1,False
60,-,-,-,-,-,-,-,-1,False
61,-,-,-,-,-,-,-,-1,False
62,-,-,-,-,-,-,-,-1,False
63,-,-,-,-,-,-,-,-1,False
64,5,5,5,4,4,5,5,33,True
65,-,-,-,-,-,-,-,-1,False
66,-,-,-,-,-,-,-,-1,False
67,-,-,-,-,-,-,-,-1,False
68,-,-,-,-,-,-,-,-1,False
69,-,-,-,-,-,-,-,-1,False
70,-,-,-,-,-,-,-,-1,False
71,-,-,-,-,-,-,-,-1,False
73,-,-,-,-,-,-,-,-1,False
74,-,-,-,-,-,-,-,-1,False
75,-,-,-,-,-,-,-,-1,False
76,5,5,1,0,1,5,4,21,True
77,-,-,-,-,-,-,-,-1,False
78,-,-,-,-,-,-,-,-1,False
79,-,-,-,-,-,-,-,-1,False
80,-,-,-,-,-,-,-,-1,False
81,-,-,-,-,-,-,-,-1,False
82,-,-,-,-,-,-,-,-1,False
83,-,-,-,-,-,-,-,-1,False
84,-,-,-,-,-,-,-,-1,False
85,-,-,-,-,-,-,-,-1,False
86,5,5,5,5,5,5,5,35,True
87,-,-,-,-,-,-,-,-1,False
88,-,-,-,-,-,-,-,-1,False
89,-,-,-,-,-,-,-,-1,False
90,0,1,1,5,4,4,4,19,True
91,-,-,-,-,-,-,-,-1,False
92,-,-,-,-,-,-,-,-1,False
93,-,-,-,-,-,-,-,-1,False
94,-,-,-,-,-,-,-,-1,False
95,-,-,-,-,-,-,-,-1,False
96,-,-,-,-,-,-,-,-1,False
98,-,-,-,-,-,-,-,-1,False
99,-,-,-,-,-,-,-,-1,False
100,-,-,-,-,-,-,-,-1,False
101,-,-,-,-,-,-,-,-1,False
102,-,-,-,-,-,-,-,-1,False
103,-,-,-,-,-,-,-,-1,False
104,-,-,-,-,-,-,-,-1,False
105,5,4,5,5,5,0,3,27,True
106,-,-,-,-,-,-,-,-1,False
107,-,-,-,-,-,-,-,-1,False
108,-,-,-,-,-,-,-,-1,False
109,-,-,-,-,-,-,-,-1,False
