Nr.,A,B,C,D,E,G,J,1.,1.-2.,1.-3.,1.-4.,1.-5.,1.-6.,Platz,Summe,Dance
33,1,1,1,1,1,1,2,6,-,-,-,-,-,10,10,SB
76,4,6,3,6,4,5,6,0,0,1,3,4(16),-,60,60,SB
92,3,4,2,4,2,4,5,0,2,3,6,-,-,30,30,SB
98,6,3,5,3,6,6,4,0,0,2,3,4(15),-,50,50,SB
104,2,2,4,2,3,3,1,1,4,-,-,-,-,20,20,SB
117,5,5,6,5,5,2,3,0,1,2,2,6,-,40,40,SB
33,1,1,1,1,1,1,2,6,-,-,-,-,-,10,20,CC
76,4,6,3,6,4,5,6,0,0,1,3,4,-,60,120,CC
92,3,4,2,4,2,4,5,0,2,3,6,-,-,30,60,CC
98,6,3,5,3,5,6,3,0,0,3,3,5(19),-,40,90,CC
104,2,2,4,2,3,3,1,1,4,-,-,-,-,20,40,CC
117,5,5,6,5,6,2,4,0,1,1,2,5(21),-,50,90,CC
33,1,1,1,1,1,1,1,7,-,-,-,-,-,10,30,RB
76,4,6,3,6,5,5,6,0,0,1,2,4,-,60,180,RB
92,3,4,2,4,4,4,5,0,1,2,6,-,-,30,90,RB
98,6,3,6,3,3,6,4,0,0,3,4,-,-,40,130,RB
104,2,2,4,2,2,3,2,0,5,-,-,-,-,20,60,RB
117,5,5,5,5,6,2,3,0,1,2,2,6,-,50,140,RB
33,1,1,1,1,1,1,2,6,-,-,-,-,-,10,40,PD
76,4,6,3,6,5,5,6,0,0,1,2,4,-,60,240,PD
92,3,4,2,4,4,4,3,0,1,3,7,-,-,30,120,PD
98,6,3,5,3,3,6,5,0,0,3,3,5(19),-,40,170,PD
104,2,2,4,2,2,3,1,1,5,-,-,-,-,20,80,PD
117,5,5,6,5,6,2,4,0,1,1,2,5(21),-,50,190,PD
33,1,1,1,1,1,1,2,6,-,-,-,-,-,10,50,JV
76,4,6,3,6,5,5,6,0,0,1,2,4,-,60,300,JV
92,3,4,2,4,3,4,5,0,1,3,6,-,-,30,150,JV
98,6,3,5,3,4,6,3,0,0,3,4,-,-,40,210,JV
104,2,2,4,2,2,3,1,1,5,-,-,-,-,20,100,JV
117,5,5,6,5,6,2,4,0,1,1,2,5,-,50,240,JV
