Nr.,A,B,C,D,E,F,G,1.,1.-2.,1.-3.,1.-4.,1.-5.,1.-6.,Platz,Summe,Dance
2,5,6,5,4,3,4,5,0,0,1,3,6,-,40,40,LW
6,1,2,1,2,1,1,1,5,-,-,-,-,-,10,10,LW
7,4,4,4,3,2,2,2,0,3,4,-,-,-,30,30,LW
12,6,3,6,5,6,3,4,0,0,2,3,4(15),7(33),55,55,LW
14,3,5,3,6,4,6,6,0,0,2,3,4(15),7(33),55,55,LW
16,2,1,2,1,5,5,3,2,4,-,-,-,-,20,20,LW
2,6,6,6,3,3,3,6,0,0,3,3,3,7,60,100,TG
6,1,1,1,2,1,1,1,6,-,-,-,-,-,10,20,TG
7,4,5,4,5,2,4,2,0,2,2,5(16),-,-,30,60,TG
12,5,3,5,4,6,2,5,0,1,2,3,6,-,50,105,TG
14,2,4,3,6,4,6,4,0,1,2,5(17),-,-,40,95,TG
16,3,2,2,1,5,5,3,1,3,5,-,-,-,20,40,TG
2,4,6,3,3,3,4,3,0,0,4,-,-,-,30,130,WW
6,1,2,1,2,1,2,1,4,-,-,-,-,-,10,30,WW
7,5,4,5,4,2,3,2,0,2,3,5,-,-,40,100,WW
12,6,3,6,5,4,1,5,1,1,2,3,5,-,50,155,WW
14,3,5,4,6,5,6,6,0,0,1,2,4,-,60,155,WW
16,2,1,2,1,6,5,4,2,4,-,-,-,-,20,60,WW
2,4,6,3,4,3,3,3,0,0,4(12),-,-,-,30,160,SF
6,1,2,1,1,1,1,1,6,-,-,-,-,-,10,40,SF
7,5,4,4,3,2,4,2,0,2,3,6,-,-,40,140,SF
12,6,3,5,5,4,2,5,0,1,2,3,6,-,50,205,SF
14,2,5,6,6,5,6,6,0,1,1,1,3,7,60,215,SF
16,3,1,2,2,6,5,4,1,3,4(8),-,-,-,20,80,SF
2,4,6,5,4,3,3,5,0,0,2,4(14),-,-,50,210,QS
6,1,1,1,2,1,1,1,6,-,-,-,-,-,10,50,QS
7,6,5,4,3,2,4,2,0,2,3,5,-,-,30,170,QS
12,3,3,6,6,5,2,4,0,1,3,4(12),-,-,40,245,QS
14,2,4,3,5,6,6,6,0,1,2,3,4,-,60,275,QS
16,5,2,2,1,4,5,3,1,3,4,-,-,-,20,100,QS
