,Category,Value
1,Ausrichter,TSC Grün-Weiß Aquisgrana Aachen e.V.
2,Turnierleiter,Guido Gehlhaar TSC Grün-Weiß Aquisgrana Aachen
3,Beisitzer,Ilona Gehlhaar TSC Grün-Weiß Aquisgrana Aachen
4,Protokoll,Tobias Hock TSC Grün-Weiß Aquisgrana Aachen
5,Turnierbüro,Ursula Belten TSC Grün-Weiß Aquisgrana Aachen Robert Dapper TSC Grün-Weiß Aquisgrana Aachen Uwe Müller TSC Grün-Weiß Aquisgrana Aachen Telse Wagner-Schlömer TSC Grün-Weiß Aquisgrana Aachen
6,Musik,Kerstin Fasel TSC Grün-Weiß Aquisgrana Aachen Tobias Hock TSC Grün-Weiß Aquisgrana Aachen Thomas Kähn TSC Grün-Weiß Aquisgrana Aachen
0,Date,15.06.2019
1,Title,DTV-Ranglistenturnier Sen I S Std - Aachen
2,Class,Sen.I S Standard
3,Nr. Rounds + Final,3
4,Nr. Adjudicators,7
5,Nr. Couples,20
