Nr.,A,B,C,D,E,F,G,Sum,Qualified
1,1,1,5,1,2,5,0,15,True
2,4,3,5,4,5,5,5,31,True
3,4,4,5,4,5,4,3,29,True
4,2,0,0,1,0,0,2,5,False
5,4,5,5,5,4,5,1,29,True
6,5,5,5,5,5,5,5,35,True
7,5,5,5,5,5,5,5,35,True
8,1,1,1,2,0,4,1,10,False
9,1,0,0,1,3,0,4,9,False
10,2,0,0,2,0,0,3,7,False
12,5,5,4,5,5,5,5,34,True
13,0,4,4,0,3,1,5,17,True
14,5,5,5,5,5,5,5,35,True
15,0,0,0,0,0,0,0,0,False
16,5,5,5,5,5,5,5,35,True
17,5,5,5,5,5,2,5,32,True
18,1,4,0,2,3,0,2,12,False
19,5,0,4,0,0,0,0,9,False
20,0,4,1,3,1,4,0,13,False
66,5,4,1,5,4,5,4,28,True
