Nr.,Platz,Round,Paar,Club
6,1.,Endrunde,"Spörl, Sebastian / Rodionova, Kristina ", TSC Rot-Gold-Casino Nürnberg
16,2.,Endrunde,"Brinkmann, Christian / Ostholt, Alena ", Die Residenz Münster
7,3.,Endrunde,"Otto, Sascha / Vollmer, Janne ", TC Der Frankfurter Kreis
2,4.,Endrunde,"Ciomber, Dennis / von Brühl, Julia "," Art of Dance, Köln"
12,5.,Endrunde,"Bohn, Bruno / Bohn, Monika ", TC Schwarz-Weiß Reutlingen
14,6.,Endrunde,"Rybka, Harald / Rybka-Schmidt, Sarah ", TC Rot-Weiss Casino Mainz
17,7.,1. Zwischenrunde,"Turpin, Mark / Turpin, Sina ",TC Rot-Weiss Casino Mainz
5,8.,1. Zwischenrunde,"Steinhäuser, Arnd / Lotsch, Martina ",TanzSportZentrum Braunschweig
3,9.- 10.,1. Zwischenrunde,"Nölle, Jochen / Flohr-Nölle, Tatjana ",Tanzsportclub Dortmund
13,9.- 10.,1. Zwischenrunde,"Müller, René / Pfeffer, Anna Maria ",TSC Savoy München
66,11.,1. Zwischenrunde,"Weber, Christian / Weber, Kim ",TanzZentrum Ludwigshafen
1,12.,1. Zwischenrunde,"Wilhelm, Florian / Friederich, Yvonne ",TSA d. 1. SC Norderstedt
20,13.,Vorrunde,"Knittel, Gordon / Rührmund, Isabelle ",btc Grün-Gold der Turngemeinde in Berlin 1848
18,14.,Vorrunde,"Walz, Marco / Hopfgarten, Christina ",TSG Leverkusen
8,15.,Vorrunde,"Schröder, Karsten / Rothe, Christine ",Askania - TSC Berlin
9,16.- 17.,Vorrunde,"Adrian, Claudius / Fischer-Adrian, Andrea ",TSC Rot-Gold-Casino Nürnberg
19,16.- 17.,Vorrunde,"Paar, Thorsten / Steinebach, Sandra ",TD Tanzsportclub Düsseldorf Rot-Weiß
10,18.,Vorrunde,"Exner, Benjamin / Exner, Valeska ",TSA im TSV Neudorf 1913
4,19.,Vorrunde,"Pfitzner, Ralf / Pfitzner, Eva ",1. TGC Redoute Koblenz + Neuwied
15,20.,Vorrunde,"Schrader, Markus / Utermark, Anja ",Braunschweig Dance Company
